,Unnamed: 0,Unnamed: 0.1,cloudnum,RGAL_KPC,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,clouds_r400pc,nn_dist,nn3_dist,nn5_dist,clouds_r100pc,clouds_r200pc,clouds_r600pc,clouds_r800pc,clouds_r1000pc,clouds_r1500pc
0,0,0,1,1.6155687563636938,188.7132812258969,0.0006059590628019,15.557452268064134,3.0,4.0,10.0,444.31167054256406,573.9316601065289,1049.5200508065718,4.895756193486172,6.324005570623796,11.564391911312551,2.962077803617096,3.8262110673768617,6.996800338710483,5738005.854548101,3301306.8643834926,4319423.551350225,6.003253606212514,5.809535113225033,6.45702709518477,196.49862679592965,170.1034168820178,67.04415558204116,343.8626796467965,303.93490552605635,182.0560206320171,0,444.31167054162347,1049.520050806158,1137.0082088535312,0,0,2,2,2,12
1,1,1,2,1.5671542305209625,188.7166484755689,0.0038498958912527,15.55443444302493,13.0,5.0,11.0,180.321462050386,248.04684664508977,281.6635191609592,1.986915881758473,2.7331645019688464,3.1035779832825177,1.2021430803359072,1.6536456443005998,1.877756794406396,1871309.2632769507,4726356.863546283,2610329.814997305,6.582304229027819,8.213621888173106,7.292610952815747,,,,139.498081213654,145.53040559447876,126.10485609684488,4,180.32146205059473,281.6635191619095,423.6413966811767,0,1,7,13,15,23
2,2,2,3,1.1721089936346083,188.7128254252726,0.000166859321767,15.555897791685869,1.0,4.0,6.0,444.31167054256406,591.4761082207201,692.8604266414814,4.895756193486172,6.517323338782939,7.634451106830765,2.962077803617096,3.943174054804804,4.619069510943212,5015228.216964561,3301306.8643834926,4517608.12296704,6.149598982441946,5.809535113225033,7.389509108349937,249.88262025176047,170.1034168820178,58.226573292176994,431.8541012321168,303.93490552605635,179.3480595670193,0,444.31167054162347,692.8604266419497,825.4606288949383,0,0,2,4,9,16
3,3,3,4,1.5139873997163948,188.7150317493251,0.0022923605001025,15.556223570796998,10.0,1.0,3.0,554.4412603533092,573.9316601065289,591.4761082207201,6.109245861096415,6.324005570623796,6.517323338782939,3.696275069022064,3.8262110673768617,3.943174054804804,4319423.551350225,5015228.216964561,5738005.854548101,6.45702709518477,6.149598982441946,6.003253606212514,67.04415558204116,249.88262025176047,196.49862679592965,182.0560206320171,431.8541012321168,343.8626796467965,0,554.4412603533092,591.4761082206395,652.4811660799154,0,0,3,7,10,19
4,4,4,5,1.549756000522069,188.71689421681185,0.0040866544124758,15.553564298905272,11.0,2.0,15.0,131.80429946046758,248.04684664508977,265.1265043553759,1.4523177269318968,2.7331645019688464,2.9213608640307487,0.8786953297364511,1.6536456443005998,1.7675100290358408,2610329.814997305,4260422.423497884,4278092.327799445,7.292610952815747,8.920088333971025,5.489213043732064,,,50.462157071847614,126.10485609684488,189.9877173003403,149.83779761459851,4,131.8042994605919,265.12650435537716,403.4239186597116,0,1,10,13,16,24
5,5,5,6,0.4805959472368108,188.7122026313276,-0.0004331263783414,15.553451383971993,21.0,26.0,31.0,422.0558449863414,447.1710520372429,506.5850526109708,4.650524967227876,4.927262983854789,5.581930597994702,2.8137056332422783,2.981140346914956,3.377233684073141,2604374.186333427,1276131.586550125,1393460.944250046,6.445517603452547,7.3437536750974015,12.599261807284986,51.53813257877449,,,153.63703702403643,139.33195522585072,102.68872267249724,0,422.0558449871295,506.5850526109705,537.7815316901743,0,0,5,7,9,17
6,6,6,7,2.065651504151834,188.71861516177023,0.0057445691202678,15.553907847731145,9.0,5.0,12.0,258.9252538433845,465.7203750597358,502.1199966413732,2.8530308771898283,5.131653210565355,5.532731292942178,1.7261683589558985,3.1048025003982413,3.347466644275824,5290550.786862376,4726356.863546283,3924491.706442909,4.911846941048577,8.213621888173106,4.218047998104704,78.99996042678542,,63.03073651335738,176.7664743996764,145.53040559447876,159.41084159333963,1,258.9252538433821,502.11999664137096,562.7944509169887,0,0,6,9,11,17
7,7,7,8,0.9174110799399352,188.71450526661937,0.0017851862517107,15.553662441667177,16.0,17.0,10.0,206.94746550094,233.9471947850196,291.4017228876122,2.2803009759236885,2.5778040590715343,3.210880749266524,1.3796497700062675,1.5596479652334652,1.9426781525840828,6823921.72842913,1920727.89476034,4319423.551350225,11.164361372977648,6.13194849151189,6.45702709518477,56.48131610701088,45.1829404988679,67.04415558204116,176.1222593064668,149.7183771827514,182.0560206320171,4,206.94746550053176,291.4017228876009,428.199626147369,0,0,6,13,16,23
8,8,8,9,1.976291062966086,188.71846736951684,0.005602214550254,15.552977346278208,12.0,7.0,15.0,246.14936237223705,258.9252538433845,407.6878630715783,2.7122566100615333,2.8530308771898283,4.492207864368074,1.640995749148248,1.7261683589558985,2.7179190871438568,3924491.706442909,2594446.4661553605,4278092.327799445,4.218047998104704,4.304926680834442,5.489213043732064,63.03073651335738,28.9456940581352,50.462157071847614,159.41084159333963,158.07510916119995,149.83779761459851,2,246.14936237223972,407.68786307157416,499.51154533357186,0,0,7,10,12,18
9,9,9,10,1.2283490077264785,188.71542460924343,0.0026708547664393,15.55424374382346,13.0,17.0,8.0,168.22076577067958,203.4299710594674,291.4017228876122,1.853581417046968,2.241542608005142,3.210880749266524,1.1214717718045313,1.356199807063117,1.9426781525840828,1871309.2632769507,1920727.89476034,2860409.4473313824,6.582304229027819,6.13194849151189,4.787648566553349,,45.1829404988679,72.49289624503967,139.498081213654,149.7183771827514,171.1561541624348,5,168.2207657706914,291.4017228876009,343.99852877392067,0,1,8,11,16,23
10,10,10,11,1.4040900499869382,188.71641515063155,0.0036251338103606,15.553435421604776,5.0,13.0,15.0,131.80429946046758,213.61003100780687,273.14323077115,1.4523177269318968,2.3537140742222755,3.0096951136208703,0.8786953297364511,1.4240668733853798,1.820954871807668,4726356.863546283,1871309.2632769507,4278092.327799445,8.213621888173106,6.582304229027819,5.489213043732064,,,50.462157071847614,145.53040559447876,139.498081213654,149.83779761459851,6,131.8042994605919,273.14323077074494,281.6635191619095,0,1,11,14,16,24
11,11,11,12,1.8619608862759007,188.7181329040568,0.0052800176426133,15.552142480678471,9.0,19.0,15.0,246.14936237223705,271.4850447302624,331.1865510592232,2.7122566100615333,2.9914239874771096,3.64925955369923,1.640995749148248,1.8099002982017505,2.207910340394823,5290550.786862376,3531166.4768403904,4278092.327799445,4.911846941048577,5.676164216660744,5.489213043732064,78.99996042678542,99.06627881168237,50.462157071847614,176.7664743996764,203.2823618778836,149.83779761459851,4,246.14936237223972,331.18655105921215,502.11999664137096,0,0,8,10,13,19
